Distance_r_A,g_r_NO
7.474999999999999645e+00,1.066657047778109657e+00
7.525000000000000355e+00,1.070194282750117187e+00
7.575000000000001066e+00,1.061512816125144143e+00
7.625000000000000000e+00,1.066625894629940507e+00
7.675000000000000711e+00,1.060984342858340757e+00
7.724999999999999645e+00,1.061548735457175097e+00
7.775000000000000355e+00,1.065004144471854985e+00
7.825000000000001066e+00,1.062191300005414174e+00
7.875000000000000000e+00,1.052305360287333791e+00
7.925000000000000711e+00,1.045881554662138946e+00
7.974999999999999645e+00,1.035476683733169478e+00
8.025000000000000355e+00,1.022376085462730178e+00
8.074999999999999289e+00,1.006708074719441015e+00
8.125000000000000000e+00,9.907546251109110580e-01
8.175000000000000711e+00,9.728349680353142181e-01
8.225000000000001421e+00,9.503796284668287742e-01
8.275000000000000355e+00,9.305549920229950756e-01
8.324999999999999289e+00,9.164760193838084046e-01
8.375000000000000000e+00,9.027532063475450785e-01
8.425000000000000711e+00,8.913319055493802434e-01
8.475000000000001421e+00,8.786580083560932009e-01
8.525000000000000355e+00,8.680818771741447559e-01
8.574999999999999289e+00,8.684602248450895567e-01
8.625000000000000000e+00,8.606926265733743087e-01
8.675000000000000711e+00,8.580444810250111853e-01
8.725000000000001421e+00,8.588271884953033730e-01
8.775000000000000355e+00,8.559143700556799406e-01
8.824999999999999289e+00,8.478764271256203910e-01
8.875000000000000000e+00,8.430392782553576270e-01
8.925000000000000711e+00,8.352125811397681510e-01
8.975000000000001421e+00,8.357116597047753448e-01
9.025000000000000355e+00,8.369460105434739505e-01
9.074999999999999289e+00,8.340345575492734698e-01
9.125000000000000000e+00,8.344247091350092127e-01
9.175000000000000711e+00,8.311488068632582049e-01
9.225000000000001421e+00,8.272472476873554692e-01
9.275000000000000355e+00,8.217088700298272874e-01
9.324999999999999289e+00,8.212792916401078225e-01
9.375000000000000000e+00,8.169229559690887044e-01
9.425000000000000711e+00,8.043997022814707298e-01
9.475000000000001421e+00,7.938638483831117476e-01
9.525000000000000355e+00,7.897236966868314001e-01
9.575000000000001066e+00,7.811969682156574279e-01
9.625000000000000000e+00,7.762554364456796252e-01
9.675000000000000711e+00,7.651716187639572286e-01
9.725000000000001421e+00,7.566512544156184239e-01
9.775000000000000355e+00,7.469975261949379775e-01
9.825000000000001066e+00,7.378811501135317252e-01
9.875000000000000000e+00,7.329391008695967935e-01
9.925000000000000711e+00,7.238983219173468209e-01
9.975000000000001421e+00,7.151211657402425370e-01
