Distance_r_A,g_r_OO
7.474999999999999645e+00,1.102065584109310103e+00
7.525000000000000355e+00,1.099312489121383019e+00
7.575000000000001066e+00,1.072141765962610016e+00
7.625000000000000000e+00,1.068640933968861617e+00
7.675000000000000711e+00,1.054384694940281975e+00
7.724999999999999645e+00,1.029090782640064594e+00
7.775000000000000355e+00,1.002931155758385762e+00
7.825000000000001066e+00,9.886553171806549134e-01
7.875000000000000000e+00,9.690509683103435412e-01
7.925000000000000711e+00,9.533466643554233677e-01
7.974999999999999645e+00,9.507495927196927266e-01
8.025000000000000355e+00,9.354678958612461237e-01
8.074999999999999289e+00,9.469647161071459429e-01
8.125000000000000000e+00,9.306946829404229016e-01
8.175000000000000711e+00,9.266456479541052005e-01
8.225000000000001421e+00,9.361456189315322529e-01
8.275000000000000355e+00,9.422197963743420557e-01
8.324999999999999289e+00,9.532873898403997348e-01
8.375000000000000000e+00,9.693803629831210245e-01
8.425000000000000711e+00,1.001974912027359554e+00
8.475000000000001421e+00,1.067054685415740334e+00
8.525000000000000355e+00,1.103395156485549311e+00
8.574999999999999289e+00,1.091208460764460542e+00
8.625000000000000000e+00,1.022793374787120957e+00
8.675000000000000711e+00,9.325208337543527959e-01
8.725000000000001421e+00,8.732937422435479435e-01
8.775000000000000355e+00,8.438785805617506908e-01
8.824999999999999289e+00,8.173470046605066930e-01
8.875000000000000000e+00,8.124501175743941150e-01
8.925000000000000711e+00,8.063769710578368999e-01
8.975000000000001421e+00,7.967148377552987215e-01
9.025000000000000355e+00,8.004615224398550222e-01
9.074999999999999289e+00,7.926226913349927461e-01
9.125000000000000000e+00,7.870683372449336357e-01
9.175000000000000711e+00,7.761552140286239743e-01
9.225000000000001421e+00,7.753072193646136645e-01
9.275000000000000355e+00,7.704427086673328873e-01
9.324999999999999289e+00,7.649229485555802954e-01
9.375000000000000000e+00,7.624741372846062237e-01
9.425000000000000711e+00,7.582171328600250115e-01
9.475000000000001421e+00,7.479731586656568343e-01
9.525000000000000355e+00,7.396911675588576651e-01
9.575000000000001066e+00,7.266338341551216162e-01
9.625000000000000000e+00,7.223281434721259275e-01
9.675000000000000711e+00,7.127410288171472930e-01
9.725000000000001421e+00,7.020471511895651773e-01
9.775000000000000355e+00,6.900294898893006845e-01
9.825000000000001066e+00,6.855129856318021853e-01
9.875000000000000000e+00,6.910592853769006449e-01
9.925000000000000711e+00,6.843682609564553099e-01
9.975000000000001421e+00,6.829037245668687639e-01
