Distance_r_A,g_r_NN
7.474999999999999645e+00,1.053863225935079972e+00
7.525000000000000355e+00,1.053850315674965232e+00
7.575000000000001066e+00,1.039723208510900943e+00
7.625000000000000000e+00,1.043583750495586271e+00
7.675000000000000711e+00,1.036678622911420211e+00
7.724999999999999645e+00,1.023452730605592498e+00
7.775000000000000355e+00,1.025977567118746547e+00
7.825000000000001066e+00,1.012028054060443383e+00
7.875000000000000000e+00,1.004470306957897074e+00
7.925000000000000711e+00,9.957671865844555104e-01
7.974999999999999645e+00,9.970147002247833345e-01
8.025000000000000355e+00,9.903925043115924254e-01
8.074999999999999289e+00,9.812868701963723961e-01
8.125000000000000000e+00,9.625894500247306196e-01
8.175000000000000711e+00,9.493727390787060072e-01
8.225000000000001421e+00,9.363905385360357103e-01
8.275000000000000355e+00,9.209782597474880372e-01
8.324999999999999289e+00,9.084803469615678750e-01
8.375000000000000000e+00,8.991800618069202278e-01
8.425000000000000711e+00,8.817008666115158100e-01
8.475000000000001421e+00,8.705223649789666229e-01
8.525000000000000355e+00,8.534563650930018230e-01
8.574999999999999289e+00,8.452828450039945318e-01
8.625000000000000000e+00,8.315612101618228280e-01
8.675000000000000711e+00,8.150695680228208229e-01
8.725000000000001421e+00,8.114031416085618620e-01
8.775000000000000355e+00,8.097754235414841295e-01
8.824999999999999289e+00,8.021307162779109934e-01
8.875000000000000000e+00,7.989319982031649614e-01
8.925000000000000711e+00,8.020419382300247868e-01
8.975000000000001421e+00,7.950997713282358381e-01
9.025000000000000355e+00,7.935410770837778571e-01
9.074999999999999289e+00,7.869469768308950952e-01
9.125000000000000000e+00,7.811742647495772962e-01
9.175000000000000711e+00,7.776610163368028461e-01
9.225000000000001421e+00,7.680639893515079919e-01
9.275000000000000355e+00,7.628496440680390123e-01
9.324999999999999289e+00,7.504686435278274947e-01
9.375000000000000000e+00,7.379444235684370357e-01
9.425000000000000711e+00,7.257104108475814774e-01
9.475000000000001421e+00,7.135428285944764859e-01
9.525000000000000355e+00,7.049935498761834562e-01
9.575000000000001066e+00,6.944940903632836893e-01
9.625000000000000000e+00,6.829464739876365265e-01
9.675000000000000711e+00,6.732092681969540360e-01
9.725000000000001421e+00,6.653077178102274614e-01
9.775000000000000355e+00,6.572137315799645441e-01
9.825000000000001066e+00,6.460249810782576763e-01
9.875000000000000000e+00,6.364199839987145779e-01
9.925000000000000711e+00,6.259421846612172047e-01
9.975000000000001421e+00,6.177927304809001097e-01
