Distance_r_A,g_r_NN
7.474999999999999645e+00,1.448942743985452752e+00
7.525000000000000355e+00,1.420921746686206966e+00
7.575000000000001066e+00,1.391455829595065641e+00
7.625000000000000000e+00,1.332973479673110306e+00
7.675000000000000711e+00,1.358293784249360980e+00
7.724999999999999645e+00,1.399888650361226450e+00
7.775000000000000355e+00,1.429988874314692016e+00
7.825000000000001066e+00,1.496275312742064711e+00
7.875000000000000000e+00,1.532413790803727416e+00
7.925000000000000711e+00,1.537289871571230870e+00
7.974999999999999645e+00,1.551375105070943450e+00
8.025000000000000355e+00,1.581478408480141429e+00
8.074999999999999289e+00,1.447278182004009706e+00
8.125000000000000000e+00,1.276339206672838955e+00
8.175000000000000711e+00,1.196802430612655233e+00
8.225000000000001421e+00,1.182212824615747060e+00
8.275000000000000355e+00,1.170512771108380035e+00
8.324999999999999289e+00,1.192647908149452984e+00
8.375000000000000000e+00,1.183976457076064470e+00
8.425000000000000711e+00,1.174872197762642401e+00
8.475000000000001421e+00,1.131015038058059696e+00
8.525000000000000355e+00,1.109283685868255986e+00
8.574999999999999289e+00,1.120375735902199077e+00
8.625000000000000000e+00,1.110746398807370250e+00
8.675000000000000711e+00,1.116791569254907301e+00
8.725000000000001421e+00,1.104028341823253268e+00
8.775000000000000355e+00,1.107606842806542646e+00
8.824999999999999289e+00,1.105334876876888028e+00
8.875000000000000000e+00,1.102972330499090381e+00
8.925000000000000711e+00,1.082114796881119778e+00
8.975000000000001421e+00,1.104405735457248960e+00
9.025000000000000355e+00,1.089857336607693128e+00
9.074999999999999289e+00,1.085384732951413689e+00
9.125000000000000000e+00,1.092077073798715547e+00
9.175000000000000711e+00,1.097291457477527432e+00
9.225000000000001421e+00,1.100018387749689186e+00
9.275000000000000355e+00,1.092108666162224351e+00
9.324999999999999289e+00,1.083335773547367653e+00
9.375000000000000000e+00,1.099232698279422493e+00
9.425000000000000711e+00,1.054840488249022101e+00
9.475000000000001421e+00,1.061383952430968280e+00
9.525000000000000355e+00,1.042715497647048961e+00
9.575000000000001066e+00,1.026461520796817295e+00
9.625000000000000000e+00,1.027043572052282361e+00
9.675000000000000711e+00,1.015195198196905180e+00
9.725000000000001421e+00,1.028068550351685539e+00
9.775000000000000355e+00,1.038920982451092323e+00
9.825000000000001066e+00,1.039547808257891282e+00
9.875000000000000000e+00,1.012801095214430847e+00
9.925000000000000711e+00,1.011576275588241147e+00
9.975000000000001421e+00,1.005864586349904277e+00
