Distance_r_A,g_r_CC
7.474999999999999645e+00,1.029559056770539049e+00
7.525000000000000355e+00,1.036181011188972878e+00
7.575000000000001066e+00,1.050615455761300554e+00
7.625000000000000000e+00,1.060918250286411402e+00
7.675000000000000711e+00,1.074232350846002104e+00
7.724999999999999645e+00,1.085552407487405890e+00
7.775000000000000355e+00,1.100742282102233460e+00
7.825000000000001066e+00,1.119073095163740206e+00
7.875000000000000000e+00,1.154640480462660435e+00
7.925000000000000711e+00,1.193989008266326701e+00
7.974999999999999645e+00,1.229456076472621229e+00
8.025000000000000355e+00,1.246569760651925707e+00
8.074999999999999289e+00,1.199711058987516177e+00
8.125000000000000000e+00,1.109649946893792594e+00
8.175000000000000711e+00,1.046747090519593026e+00
8.225000000000001421e+00,9.931002610494229499e-01
8.275000000000000355e+00,9.596806239690769402e-01
8.324999999999999289e+00,9.303777797679474437e-01
8.375000000000000000e+00,9.137661977943793978e-01
8.425000000000000711e+00,9.089050577962624056e-01
8.475000000000001421e+00,9.184359846635020697e-01
8.525000000000000355e+00,9.493852821977940559e-01
8.574999999999999289e+00,9.819121582546737059e-01
8.625000000000000000e+00,9.968287452371138446e-01
8.675000000000000711e+00,9.869865720664968700e-01
8.725000000000001421e+00,9.747086492281483716e-01
8.775000000000000355e+00,9.648318778301003817e-01
8.824999999999999289e+00,9.569105458097858508e-01
8.875000000000000000e+00,9.546080179970897195e-01
8.925000000000000711e+00,9.410760943237438392e-01
8.975000000000001421e+00,9.239231318137022253e-01
9.025000000000000355e+00,9.005938922138271296e-01
9.074999999999999289e+00,8.637536344694628498e-01
9.125000000000000000e+00,8.296361084820904619e-01
9.175000000000000711e+00,7.998572801953648392e-01
9.225000000000001421e+00,7.765804372247646636e-01
9.275000000000000355e+00,7.676186568551756073e-01
9.324999999999999289e+00,7.760293385435171887e-01
9.375000000000000000e+00,7.819277576213180536e-01
9.425000000000000711e+00,7.876877432339339791e-01
9.475000000000001421e+00,7.847909985487038220e-01
9.525000000000000355e+00,7.723856543145125597e-01
9.575000000000001066e+00,7.556128817336670300e-01
9.625000000000000000e+00,7.455023412240522340e-01
9.675000000000000711e+00,7.419934023093556208e-01
9.725000000000001421e+00,7.407366529367294117e-01
9.775000000000000355e+00,7.437138609489788443e-01
9.825000000000001066e+00,7.460853461207340720e-01
9.875000000000000000e+00,7.513215544641644872e-01
9.925000000000000711e+00,7.564688944551600791e-01
9.975000000000001421e+00,7.592466070153391922e-01
