Distance_r_A,g_r_CN
7.474999999999999645e+00,7.826414034069189007e-01
7.525000000000000355e+00,7.881151988976081713e-01
7.575000000000001066e+00,7.812227654355333728e-01
7.625000000000000000e+00,7.752091021160757434e-01
7.675000000000000711e+00,7.696635257115637119e-01
7.724999999999999645e+00,7.707048772207051313e-01
7.775000000000000355e+00,7.741394715109134461e-01
7.825000000000001066e+00,7.796383058329345861e-01
7.875000000000000000e+00,7.812338369235841684e-01
7.925000000000000711e+00,7.813237200749397759e-01
7.974999999999999645e+00,7.855228650444769922e-01
8.025000000000000355e+00,7.879852940771510106e-01
8.074999999999999289e+00,7.910768554594095336e-01
8.125000000000000000e+00,7.796244527610728392e-01
8.175000000000000711e+00,7.650296761650481336e-01
8.225000000000001421e+00,7.530935431923326817e-01
8.275000000000000355e+00,7.389773716033677387e-01
8.324999999999999289e+00,7.316997234823586771e-01
8.375000000000000000e+00,7.215874132025326126e-01
8.425000000000000711e+00,6.992243931979822413e-01
8.475000000000001421e+00,6.836148985219530072e-01
8.525000000000000355e+00,6.660100332394883749e-01
8.574999999999999289e+00,6.490710728961972542e-01
8.625000000000000000e+00,6.459879412427514955e-01
8.675000000000000711e+00,6.418256545323759443e-01
8.725000000000001421e+00,6.313477583086851697e-01
8.775000000000000355e+00,6.250602524439090590e-01
8.824999999999999289e+00,6.191852325365729826e-01
8.875000000000000000e+00,6.104019801587903249e-01
8.925000000000000711e+00,6.103672029707961633e-01
8.975000000000001421e+00,6.111550918293089385e-01
9.025000000000000355e+00,6.149086835691575104e-01
9.074999999999999289e+00,6.153259376638757772e-01
9.125000000000000000e+00,6.132716998256738661e-01
9.175000000000000711e+00,6.202178204362427394e-01
9.225000000000001421e+00,6.142583334631689373e-01
9.275000000000000355e+00,6.100348624133512532e-01
9.324999999999999289e+00,6.028811077320656020e-01
9.375000000000000000e+00,6.026115615786918900e-01
9.425000000000000711e+00,6.004219289271885973e-01
9.475000000000001421e+00,5.975273432718434252e-01
9.525000000000000355e+00,5.957012279013985667e-01
9.575000000000001066e+00,5.949634924744788833e-01
9.625000000000000000e+00,6.012089370589714932e-01
9.675000000000000711e+00,6.009299106576379002e-01
9.725000000000001421e+00,6.023403089596844895e-01
9.775000000000000355e+00,6.040655545467491505e-01
9.825000000000001066e+00,6.044803193368291083e-01
9.875000000000000000e+00,6.056255342754959248e-01
9.925000000000000711e+00,6.039047807076736163e-01
9.975000000000001421e+00,6.042809843059135932e-01
