Distance_r_A,g_r_CC
7.474999999999999645e+00,1.410546946790277145e+00
7.525000000000000355e+00,1.384889199531827764e+00
7.575000000000001066e+00,1.354014714864589797e+00
7.625000000000000000e+00,1.319612896228199661e+00
7.675000000000000711e+00,1.285650502601274781e+00
7.724999999999999645e+00,1.254428254224558614e+00
7.775000000000000355e+00,1.231936961088853977e+00
7.825000000000001066e+00,1.217283180430632328e+00
7.875000000000000000e+00,1.214251901564616265e+00
7.925000000000000711e+00,1.215700453979574158e+00
7.974999999999999645e+00,1.212964878587942774e+00
8.025000000000000355e+00,1.194076543302137861e+00
8.074999999999999289e+00,1.161805429681187496e+00
8.125000000000000000e+00,1.127962930248514350e+00
8.175000000000000711e+00,1.102076629632474214e+00
8.225000000000001421e+00,1.081345012826814722e+00
8.275000000000000355e+00,1.063635182128474410e+00
8.324999999999999289e+00,1.053587183815420270e+00
8.375000000000000000e+00,1.048515523547344230e+00
8.425000000000000711e+00,1.053650546737825211e+00
8.475000000000001421e+00,1.067843944226127606e+00
8.525000000000000355e+00,1.088602654341593645e+00
8.574999999999999289e+00,1.107670113667701406e+00
8.625000000000000000e+00,1.114426523135881419e+00
8.675000000000000711e+00,1.106645471823016980e+00
8.725000000000001421e+00,1.096256965015393936e+00
8.775000000000000355e+00,1.093553580085602217e+00
8.824999999999999289e+00,1.095566410610044006e+00
8.875000000000000000e+00,1.097485877743602067e+00
8.925000000000000711e+00,1.091972028087714541e+00
8.975000000000001421e+00,1.074282681458709421e+00
9.025000000000000355e+00,1.051277345409623365e+00
9.074999999999999289e+00,1.023323376232276649e+00
9.125000000000000000e+00,9.956827409810946605e-01
9.175000000000000711e+00,9.725610559093694762e-01
9.225000000000001421e+00,9.554179679152622340e-01
9.275000000000000355e+00,9.456469632896413735e-01
9.324999999999999289e+00,9.372997610234774513e-01
9.375000000000000000e+00,9.291201662059359601e-01
9.425000000000000711e+00,9.181068590536815011e-01
9.475000000000001421e+00,9.080706793816246680e-01
9.525000000000000355e+00,8.984863472383319838e-01
9.575000000000001066e+00,8.907658138201846043e-01
9.625000000000000000e+00,8.841647806138487331e-01
9.675000000000000711e+00,8.795973662498181023e-01
9.725000000000001421e+00,8.764564117388460307e-01
9.775000000000000355e+00,8.771706944228432334e-01
9.825000000000001066e+00,8.797659145895413424e-01
9.875000000000000000e+00,8.809103652887745328e-01
9.925000000000000711e+00,8.820509847691693217e-01
9.975000000000001421e+00,8.814157427759801156e-01
