Distance_r_A,g_r_CN
7.474999999999999645e+00,1.075826167443428405e+00
7.525000000000000355e+00,1.060626070365834339e+00
7.575000000000001066e+00,1.047542314049349832e+00
7.625000000000000000e+00,1.032377057642478224e+00
7.675000000000000711e+00,1.018897862010866406e+00
7.724999999999999645e+00,1.010612491675129565e+00
7.775000000000000355e+00,1.000478696012881974e+00
7.825000000000001066e+00,9.919646343046223391e-01
7.875000000000000000e+00,9.837778337505137527e-01
7.925000000000000711e+00,9.777925352742518061e-01
7.974999999999999645e+00,9.762633897272287031e-01
8.025000000000000355e+00,9.754121784852225474e-01
8.074999999999999289e+00,9.713013656104563243e-01
8.125000000000000000e+00,9.717908987074435068e-01
8.175000000000000711e+00,9.727199317855395044e-01
8.225000000000001421e+00,9.748317054548265581e-01
8.275000000000000355e+00,9.753764302105257800e-01
8.324999999999999289e+00,9.741455608045996861e-01
8.375000000000000000e+00,9.706914651615868861e-01
8.425000000000000711e+00,9.638330300084416713e-01
8.475000000000001421e+00,9.543229560063555272e-01
8.525000000000000355e+00,9.435448391154336312e-01
8.574999999999999289e+00,9.361063271373175620e-01
8.625000000000000000e+00,9.277929340066939368e-01
8.675000000000000711e+00,9.213924197806501182e-01
8.725000000000001421e+00,9.128920153498912837e-01
8.775000000000000355e+00,9.068444208815169549e-01
8.824999999999999289e+00,8.999973606140829752e-01
8.875000000000000000e+00,8.963034337730835244e-01
8.925000000000000711e+00,8.932171480345822978e-01
8.975000000000001421e+00,8.904746894578160488e-01
9.025000000000000355e+00,8.867054826227575015e-01
9.074999999999999289e+00,8.835401472009610790e-01
9.125000000000000000e+00,8.824167332865293645e-01
9.175000000000000711e+00,8.790056613647710959e-01
9.225000000000001421e+00,8.771136655159741391e-01
9.275000000000000355e+00,8.750082092375266463e-01
9.324999999999999289e+00,8.762684202436292757e-01
9.375000000000000000e+00,8.747289651048592019e-01
9.425000000000000711e+00,8.748209498019779984e-01
9.475000000000001421e+00,8.763867977389276920e-01
9.525000000000000355e+00,8.749428629529628632e-01
9.575000000000001066e+00,8.749332956807986950e-01
9.625000000000000000e+00,8.729580670527428143e-01
9.675000000000000711e+00,8.679587617120931853e-01
9.725000000000001421e+00,8.600182680876953256e-01
9.775000000000000355e+00,8.526439079298065993e-01
9.825000000000001066e+00,8.429275692202683468e-01
9.875000000000000000e+00,8.321338796207383703e-01
9.925000000000000711e+00,8.223306385879496361e-01
9.975000000000001421e+00,8.126268965624121599e-01
