Distance_r_A,g_r_NN
7.474999999999999645e+00,1.290463802526147674e+00
7.525000000000000355e+00,1.283858064202962224e+00
7.575000000000001066e+00,1.267993841189495541e+00
7.625000000000000000e+00,1.250332058318230688e+00
7.675000000000000711e+00,1.245211877644105902e+00
7.724999999999999645e+00,1.233993079038494978e+00
7.775000000000000355e+00,1.230587373604050239e+00
7.825000000000001066e+00,1.212036932877396556e+00
7.875000000000000000e+00,1.199061205480099757e+00
7.925000000000000711e+00,1.175031588191436827e+00
7.974999999999999645e+00,1.156221747190662619e+00
8.025000000000000355e+00,1.137163580023013321e+00
8.074999999999999289e+00,1.115836269488745813e+00
8.125000000000000000e+00,1.104842789298770001e+00
8.175000000000000711e+00,1.089681296702521784e+00
8.225000000000001421e+00,1.073037870746971656e+00
8.275000000000000355e+00,1.057127764634191447e+00
8.324999999999999289e+00,1.050774801547753823e+00
8.375000000000000000e+00,1.035719259656161295e+00
8.425000000000000711e+00,1.022299836279075391e+00
8.475000000000001421e+00,1.003605352030038089e+00
8.525000000000000355e+00,9.893953992421640198e-01
8.574999999999999289e+00,9.735513149568936209e-01
8.625000000000000000e+00,9.589407675098577943e-01
8.675000000000000711e+00,9.430399925608167200e-01
8.725000000000001421e+00,9.341627895177622154e-01
8.775000000000000355e+00,9.203732442334013886e-01
8.824999999999999289e+00,9.093231746622146838e-01
8.875000000000000000e+00,8.936427077339051950e-01
8.925000000000000711e+00,8.787210583630699068e-01
8.975000000000001421e+00,8.619684059859212821e-01
9.025000000000000355e+00,8.495394155546026616e-01
9.074999999999999289e+00,8.388024494478081294e-01
9.125000000000000000e+00,8.218265773975333977e-01
9.175000000000000711e+00,8.043323985880282967e-01
9.225000000000001421e+00,7.906416164786793654e-01
9.275000000000000355e+00,7.811688242992227416e-01
9.324999999999999289e+00,7.717090534682744529e-01
9.375000000000000000e+00,7.589597532029375149e-01
9.425000000000000711e+00,7.515810721079239087e-01
9.475000000000001421e+00,7.447517535415283385e-01
9.525000000000000355e+00,7.358481454059816462e-01
9.575000000000001066e+00,7.266963621885658142e-01
9.625000000000000000e+00,7.145940034554478792e-01
9.675000000000000711e+00,7.039242077936177511e-01
9.725000000000001421e+00,6.975825171608803776e-01
9.775000000000000355e+00,6.921915195241419294e-01
9.825000000000001066e+00,6.883129527822307026e-01
9.875000000000000000e+00,6.874870467268040519e-01
9.925000000000000711e+00,6.832179135744170795e-01
9.975000000000001421e+00,6.830778333038054484e-01
